-- Jay_H Fighters Guild quest pack list

-- name:        filename of QRC txt file
-- group:       guild group from FactionFile.GuildGroups enum, or social group from FactionFile.SocialGroups enum
-- membership:  N=non-member, M=member, P=prospect, T=Akatosh, A=Arkay, D=Dibella, J=Julianos, K=Kynareth, R=Mara, S=Stendarr, Z=Zenithar
-- minReq:      minimum requirement to be offered the quest: (val < 10) = guild rank / player level, or (val >= 10) = min reputation
-- flag:        0 = nothing, X = adult/nudity, 1 = one time quest
-- notes:

schema: *name, group, membership, minReq, flag, notes

JHFG101, FightersGuild, M, 0, 1, a quest to deliver bandages
JHFG103, FightersGuild, M, 5, 0, a quest to slay a criminal in a dungeon
JHFG104, FightersGuild, M, 0, 0, a quest to guard a residence from intruders
JHFG105, FightersGuild, M, 5, 0, a quest to kill a house-dwelling daedroth
JHFG106, FightersGuild, M, 2, 0, a quest to stop an assassination inside a home
JHFG107, FightersGuild, M, 1, 1, courier work + ambush in a house
JHFG108, FightersGuild, M, 5, 1, a quest to defend a vampire in a palace
JHFG109, FightersGuild, M, 2, 0, expert werewolf hunting
JHFG110, FightersGuild, M, 0, 0, a quest to retrieve an heirloom from a dungeon tiger
JHFG111, FightersGuild, M, 8, 1, an artifact quest to invade a vampire cult
JHFG113, FightersGuild, M, 1, 1, a quest to get a giant out of a house
JHFG115, FightersGuild, M, 0, 0, a quest to fight in a dungeon with a partner
JHFG118, FightersGuild, M, 3, 1, a quest to destroy skeletons in a cemetery
JHFG119, FightersGuild, M, 6, 0, a quest to defend the city against appearing monsters
JHFG120, FightersGuild, M, 1, 0, a quest to persuade a guild member to start again
JHFG121, FightersGuild, M, 1, 1, a quest to escort a debtor
JHFG122, FightersGuild, M, 1, 0, a quest to guard a tavern
JHFG124, FightersGuild, M, 4, 1, a contest to kill bats
JHFG126, FightersGuild, M, 1, 0, a quest to interrupt thieves' plan to destroy evidence
JHFG127, FightersGuild, M, 4, 1, a quest to help someone fleeing the Dark Brotherhood
JHFG128, FightersGuild, M, 8, 1, a quest to supposedly escort someone
-JHFG129, FightersGuild, M, 7, 1, shapeshifter quest, better removed for now
JHFG130, FightersGuild, M, 3, 1, a quest to help clear a cemetery of its guardian
JHFG131, FightersGuild, M, 2, 1, a quest to rescue a child from a dungeon
JHFG132, FightersGuild, M, 10, 1, a quest to destroy a conducting atronach in a house
JHFG133, FightersGuild, M, 1, 1, a quest to deliver a bag of gold across town
JHFG201, FightersGuild, M, 3, 1, a quest to slay a vampire in another town
JHFG202, FightersGuild, M, 6, X, a quest to slay a daedra in a dungeon
JHFG203, FightersGuild, M, 1, 1, a quest to slay angry rangers and their pets
JHFG204, FightersGuild, M, 5, 1, a quest to slay a vampire lord and two vampires
JHFG205, FightersGuild, M, 1, 1, a quest to slay a pack of beasts at a rural farmhome
JHFG210, FightersGuild, M, 2, 0, a quest to rid a city's streets of poisonous critters
JHFG212, FightersGuild, M, 4, 1, a quest to slay a Mages Guild member in a city
JHFG214, FightersGuild, M, 0, 1, a quest to slay a zombie in a house (silver weapon reward)
JHFG216, FightersGuild, M, 4, 1, a quest to get rid of a bad guild member
JHFG217, FightersGuild, M, 4, 0, a quest to slay a high-ranking Mages Guild Necromancer
JHFG225, FightersGuild, M, 0, 0, a quest to help find someone from the Mages Guild
JHFG234, FightersGuild, M, 2, 0, a quest to kill a fire atronach in a palace
JHFG235, FightersGuild, M, 0, 0, a quest to kill two skeletons in a house
JHFG236, FightersGuild, M, 1, 0, a quest to kill a conjurer in a dungeon
JHFG237, FightersGuild, M, 2, 1, a quest to kill a Dark Brotherhood member for a widow
JHFG238, FightersGuild, M, 0, 1, a quest to kill a thief in a local shop
